Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"M1142799", 12.47, 2,    7518.39, -151.5,    1.0443, 0, 0, 0, 0, 0, 0, 0, 0
"M1047592", 12.47, 1,    7352.34,  -33.5,    1.0212, 2,    7451.51, -155.9,     1.035, 3,    7434.87,   92.3,    1.0327
"P827512", 12.47, 3,    7434.77,   92.3,    1.0327, 0, 0, 0, 0, 0, 0, 0, 0
"M1047339", 12.47, 1,    7255.51,  -34.3,    1.0078, 2,    7374.19, -153.9,    1.0243, 3,     7466.9,   88.6,    1.0371
"P895104", 12.47, 1,    7255.48,  -34.3,    1.0078, 0, 0, 0, 0, 0, 0, 0, 0
"M1026915", 12.47, 1,    7215.42,  -33.9,    1.0022, 2,     7386.8, -156.4,     1.026, 3,    7418.97,   92.3,    1.0305
"M1026920", 12.47, 1,    7211.91,  -33.9,    1.0017, 2,    7385.14, -156.4,    1.0258, 3,    7418.21,   92.3,    1.0304
"N1138596", 12.47, 1,    7303.07,  -33.1,    1.0144, 0, 0, 0, 0, 0, 0, 0, 0
"L3254207", 12.47, 1,    7302.87,  -33.1,    1.0144, 0, 0, 0, 0, 0, 0, 0, 0
"M1069464", 12.47, 1,    7308.99,  -33.2,    1.0152, 2,    7343.32, -156.1,      1.02, 3,    7409.13,   92.1,    1.0291
"P873787", 12.47, 2,    7343.31, -156.1,      1.02, 0, 0, 0, 0, 0, 0, 0, 0
"N1144665", 12.47, 1,    7386.97,  -33.2,     1.026, 2,    7454.01, -155.7,    1.0353, 3,     7441.4,   92.3,    1.0336
"M1047515", 12.47, 1,    7382.18,  -33.2,    1.0254, 2,    7450.73, -155.7,    1.0349, 3,    7439.48,   92.3,    1.0333
"N1137002", 12.47, 1,    7331.48,  -33.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"M1047707", 12.47, 1,    7331.41,  -33.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"L2729406", 12.47, 3,    7286.18,   89.4,     1.012, 0, 0, 0, 0, 0, 0, 0, 0
"L2897768", 12.47, 3,    7285.81,   89.4,     1.012, 0, 0, 0, 0, 0, 0, 0, 0
"L3649301", 12.47, 1,    7319.44,  -33.6,    1.0167, 0, 0, 0, 0, 0, 0, 0, 0
"L3649302", 12.47, 1,    7319.09,  -33.6,    1.0166, 0, 0, 0, 0, 0, 0, 0, 0
"L2970842", 12.47, 2,    7488.29, -152.8,    1.0401, 0, 0, 0, 0, 0, 0, 0, 0
"M1089113", 12.47, 2,    7485.47, -152.8,    1.0397, 0, 0, 0, 0, 0, 0, 0, 0
"M1047312", 12.47, 1,    7213.26,  -34.4,    1.0019, 2,    7365.89, -154.0,    1.0231, 3,    7463.69,   88.7,    1.0367
"P893163", 12.47, 1,    7213.13,  -34.4,    1.0019, 0, 0, 0, 0, 0, 0, 0, 0
"L2822871", 12.47, 1,    7257.93,  -33.8,    1.0081, 2,    7417.97, -156.2,    1.0303, 3,     7423.6,   92.4,    1.0311
"M1026872", 12.47, 1,    7254.73,  -33.8,    1.0077, 2,     7415.6, -156.2,      1.03, 3,    7423.27,   92.4,    1.0311
"M1026312", 12.47, 2,    7311.23, -154.1,    1.0155, 0, 0, 0, 0, 0, 0, 0, 0
"L2973163", 12.47, 2,    7310.13, -154.1,    1.0154, 0, 0, 0, 0, 0, 0, 0, 0
"L3728038", 12.47, 1,    7307.77,  -33.4,     1.015, 0, 0, 0, 0, 0, 0, 0, 0
"L3728039", 12.47, 1,    7306.95,  -33.4,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"M1069567", 12.47, 2,    7323.02, -154.9,    1.0171, 0, 0, 0, 0, 0, 0, 0, 0
"M1069582", 12.47, 2,    7298.01, -155.0,    1.0137, 0, 0, 0, 0, 0, 0, 0, 0
"N1140830", 12.47, 1,    7264.25,  -33.4,     1.009, 0, 0, 0, 0, 0, 0, 0, 0
"L3216351", 12.47, 1,    7264.19,  -33.4,     1.009, 0, 0, 0, 0, 0, 0, 0, 0
"L2952007", 12.47, 3,    7432.46,   89.7,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"L2861158", 12.47, 3,    7432.43,   89.7,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"N1140827", 12.47, 1,    7267.64,  -33.4,    1.0095, 2,    7434.66, -155.7,    1.0327, 3,    7399.83,   92.4,    1.0278
"M1026726", 12.47, 1,    7267.63,  -33.4,    1.0095, 2,    7434.63, -155.7,    1.0327, 3,    7399.83,   92.4,    1.0278
"L2730106", 12.47, 1,       7105,  -30.6,   0.98687, 2,     7486.1, -151.6,    1.0398, 3,    7678.52,   92.6,    1.0665
"N1142099", 12.47, 1,    7103.07,  -30.6,    0.9866, 2,    7485.83, -151.6,    1.0398, 3,     7679.5,   92.6,    1.0667
"M1026658", 12.47, 1,    7262.71,  -33.4,    1.0088, 2,       7436, -155.7,    1.0328, 3,     7395.9,   92.4,    1.0273
"L3172805", 12.47, 1,     7262.6,  -33.4,    1.0088, 0, 0, 0, 0, 0, 0, 0, 0
"P895112", 12.47, 1,    7299.31,  -31.3,    1.0139, 0, 0, 0, 0, 0, 0, 0, 0
"L3048962", 12.47, 1,     7299.3,  -31.3,    1.0139, 0, 0, 0, 0, 0, 0, 0, 0
"L2991914", 12.47, 1,    7344.39,  -33.3,    1.0201, 2,    7429.28, -155.7,    1.0319, 3,    7424.29,   92.3,    1.0312
"M1047503", 12.47, 1,    7342.56,  -33.3,    1.0199, 2,    7429.39, -155.7,    1.0319, 3,    7423.54,   92.3,    1.0311
"M1047751", 12.47, 1,    7283.85,  -33.2,    1.0117, 0, 0, 0, 0, 0, 0, 0, 0
"L2973154", 12.47, 1,    7283.82,  -33.2,    1.0117, 0, 0, 0, 0, 0, 0, 0, 0
"L3010565", 12.47, 3,       7426,   89.0,    1.0315, 0, 0, 0, 0, 0, 0, 0, 0
"L2897775", 12.47, 3,    7425.97,   89.0,    1.0314, 0, 0, 0, 0, 0, 0, 0, 0
"M1125955", 12.47, 3,    7629.43,   91.5,    1.0597, 0, 0, 0, 0, 0, 0, 0, 0
"M1125957", 12.47, 3,    7629.42,   91.5,    1.0597, 0, 0, 0, 0, 0, 0, 0, 0
"M1069640", 12.47, 2,    7224.51, -155.1,    1.0035, 0, 0, 0, 0, 0, 0, 0, 0
"L2804269", 12.47, 2,    7221.54, -155.1,    1.0031, 0, 0, 0, 0, 0, 0, 0, 0
"M1026702", 12.47, 1,    7280.73,  -33.4,    1.0113, 2,    7433.97, -155.7,    1.0326, 3,    7404.61,   92.4,    1.0285
"N1139551", 12.47, 1,    7274.54,  -33.4,    1.0104, 2,    7434.58, -155.7,    1.0326, 3,    7402.96,   92.4,    1.0283
"N1136355", 12.47, 2,    7404.13, -154.8,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"L2783231", 12.47, 2,    7391.56, -154.8,    1.0267, 0, 0, 0, 0, 0, 0, 0, 0
"L2748143", 12.47, 1,    7247.77,  -31.9,    1.0067, 0, 0, 0, 0, 0, 0, 0, 0
"L3251854", 12.47, 1,    7247.67,  -31.9,    1.0067, 0, 0, 0, 0, 0, 0, 0, 0
"M1069610", 12.47, 2,    7264.73, -155.0,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"M1069600", 12.47, 2,    7264.72, -155.0,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"M1069424", 12.47, 1,    7306.28,  -33.2,    1.0148, 2,    7321.35, -156.2,    1.0169, 3,    7403.75,   92.0,    1.0284
"L2935549", 12.47, 1,    7305.89,  -33.2,    1.0148, 2,    7318.21, -156.2,    1.0165, 3,    7403.17,   92.0,    1.0283
"P895089", 12.47, 3,     7568.9,   92.4,    1.0513, 0, 0, 0, 0, 0, 0, 0, 0
"L3235242", 12.47, 3,    7568.82,   92.4,    1.0513, 0, 0, 0, 0, 0, 0, 0, 0
"M1026795", 12.47, 1,    7324.59,  -33.3,    1.0174, 2,    7430.79, -155.7,    1.0321, 3,    7416.53,   92.3,    1.0301
"N1140522", 12.47, 3,     7416.5,   92.3,    1.0301, 0, 0, 0, 0, 0, 0, 0, 0
"L3030199", 12.47, 1,     7320.7,  -31.9,    1.0168, 2,    7519.01, -151.6,    1.0444, 3,    7554.86,   90.2,    1.0494
"M1125934", 12.47, 1,    7320.49,  -31.9,    1.0168, 2,    7518.76, -151.6,    1.0443, 3,    7553.82,   90.2,    1.0492
"M1069189", 12.47, 1,    7419.79,  -33.6,    1.0306, 2,    7461.95, -153.0,    1.0364, 3,    7436.37,   89.0,    1.0329
"L2860487", 12.47, 3,    7436.35,   89.0,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"221-312488", 12.47, 1,    7138.36,  -30.8,    0.9915, 2,    7485.99, -151.6,    1.0398, 3,    7654.88,   92.2,    1.0632
"M1089183", 12.47, 1,    7138.36,  -30.8,    0.9915, 2,    7485.98, -151.6,    1.0398, 3,    7654.87,   92.2,    1.0632
"M1108464", 12.47, 2,    7484.93, -151.6,    1.0396, 0, 0, 0, 0, 0, 0, 0, 0
"L3102286", 12.47, 2,    7484.78, -151.6,    1.0396, 0, 0, 0, 0, 0, 0, 0, 0
"F739845", 12.47, 1,     7194.7,  -34.4,   0.99933, 2,    7357.45, -154.0,    1.0219, 3,    7462.67,   88.7,    1.0365
"293471", 12.47, 1,    7194.69,  -34.4,   0.99932, 2,    7357.42, -154.0,    1.0219, 3,    7462.66,   88.7,    1.0365
"P827499", 12.47, 1,    7305.47,  -33.2,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"N1139254", 12.47, 1,    7305.46,  -33.2,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"M1026657", 12.47, 1,    7262.27,  -33.4,    1.0087, 0, 0, 0, 0, 0, 0, 0, 0
"M1026656", 12.47, 1,    7262.14,  -33.4,    1.0087, 0, 0, 0, 0, 0, 0, 0, 0
"M1108299", 12.47, 2,    7513.07, -151.8,    1.0435, 0, 0, 0, 0, 0, 0, 0, 0
"M1108300", 12.47, 2,    7513.06, -151.8,    1.0435, 0, 0, 0, 0, 0, 0, 0, 0
"L3198355", 12.47, 2,    7512.96, -151.8,    1.0435, 0, 0, 0, 0, 0, 0, 0, 0
"L2805037", 12.47, 2,    7512.96, -151.8,    1.0435, 0, 0, 0, 0, 0, 0, 0, 0
"N1137994", 12.47, 3,    7410.95,   92.1,    1.0294, 0, 0, 0, 0, 0, 0, 0, 0
"M1069484", 12.47, 3,    7410.34,   92.1,    1.0293, 0, 0, 0, 0, 0, 0, 0, 0
"L2860504", 12.47, 1,    7265.02,  -33.4,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"L2860493", 12.47, 1,    7264.71,  -33.4,     1.009, 0, 0, 0, 0, 0, 0, 0, 0
"M1026783", 12.47, 1,    7319.01,  -33.3,    1.0166, 2,    7431.21, -155.7,    1.0322, 3,    7415.03,   92.3,    1.0299
"M1026780", 12.47, 1,     7318.1,  -33.3,    1.0165, 2,    7431.28, -155.7,    1.0322, 3,    7414.78,   92.4,    1.0299
"P895111", 12.47, 3,    7609.38,   91.0,    1.0569, 0, 0, 0, 0, 0, 0, 0, 0
"L2895496", 12.47, 3,    7609.21,   91.0,    1.0569, 0, 0, 0, 0, 0, 0, 0, 0
"N1140819", 12.47, 1,    7269.92,  -33.4,    1.0098, 2,    7434.63, -155.7,    1.0327, 3,    7401.08,   92.4,     1.028
"M1026700", 12.47, 1,    7269.26,  -33.4,    1.0097, 2,    7434.63, -155.7,    1.0327, 3,    7400.77,   92.4,    1.0279
"M1089173", 12.47, 3,    7295.09,   89.4,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"L2935551", 12.47, 3,    7293.08,   89.4,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"M1026344", 12.47, 1,    7145.34,  -34.4,   0.99247, 0, 0, 0, 0, 0, 0, 0, 0
"M1026364", 12.47, 1,    7145.24,  -34.4,   0.99245, 0, 0, 0, 0, 0, 0, 0, 0
"L2879070", 12.47, 1,    7339.36,  -33.5,    1.0194, 2,    7448.72, -155.9,    1.0346, 3,    7432.92,   92.3,    1.0324
"L3216345", 12.47, 1,    7330.65,  -33.6,    1.0182, 2,    7446.97, -155.9,    1.0344, 3,    7431.85,   92.3,    1.0323
"M1069428", 12.47, 1,    7306.69,  -33.2,    1.0149, 2,    7324.04, -156.2,    1.0173, 3,    7404.25,   92.0,    1.0284
"N1139257", 12.47, 2,    7324.03, -156.2,    1.0173, 0, 0, 0, 0, 0, 0, 0, 0
"L2991919", 12.47, 1,    7139.85,  -34.4,   0.99171, 0, 0, 0, 0, 0, 0, 0, 0
"M1026361", 12.47, 1,    7136.29,  -34.4,   0.99121, 0, 0, 0, 0, 0, 0, 0, 0
"N1147857", 12.47, 1,    7197.76,  -33.8,   0.99975, 0, 0, 0, 0, 0, 0, 0, 0
"M1009742", 12.47, 1,    7196.96,  -33.8,   0.99964, 0, 0, 0, 0, 0, 0, 0, 0
"Q14412", 12.47, 1,    7244.52,  -34.3,    1.0062, 2,    7372.05, -154.0,     1.024, 3,    7466.05,   88.6,     1.037
"M1047325", 12.47, 1,    7241.37,  -34.3,    1.0058, 2,    7371.44, -154.0,    1.0239, 3,     7465.8,   88.6,     1.037
"N1139263", 12.47, 1,    7309.33,  -33.2,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"L3048227", 12.47, 1,    7309.31,  -33.2,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"P827506", 12.47, 1,    7309.34,  -33.2,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"M1069469", 12.47, 1,    7309.33,  -33.2,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"M1027019", 12.47, 2,    7309.68, -156.5,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L2785522", 12.47, 2,    7309.63, -156.5,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L3216338", 12.47, 2,    7331.11, -156.5,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"L2973146", 12.47, 2,    7331.08, -156.5,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"M3037452", 12.47, 1,    7121.83,  -34.5,    0.9892, 0, 0, 0, 0, 0, 0, 0, 0
"L2973164", 12.47, 1,    7121.78,  -34.5,    0.9892, 0, 0, 0, 0, 0, 0, 0, 0
"L3120376", 12.47, 1,    7262.17,  -33.8,    1.0087, 0, 0, 0, 0, 0, 0, 0, 0
"M1026925", 12.47, 1,    7261.05,  -33.8,    1.0085, 0, 0, 0, 0, 0, 0, 0, 0
"M1047612", 12.47, 3,    7442.81,   92.3,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"P828360", 12.47, 3,     7442.8,   92.3,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"M1089195", 12.47, 3,     7568.7,   92.4,    1.0513, 0, 0, 0, 0, 0, 0, 0, 0
"L3141393", 12.47, 3,     7568.6,   92.4,    1.0513, 0, 0, 0, 0, 0, 0, 0, 0
"M1026946", 12.47, 2,     7349.9, -156.5,    1.0209, 0, 0, 0, 0, 0, 0, 0, 0
"M1026940", 12.47, 2,     7349.4, -156.5,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"M1047471", 12.47, 2,     7242.9, -156.4,     1.006, 0, 0, 0, 0, 0, 0, 0, 0
"L3216349", 12.47, 2,    7242.88, -156.4,     1.006, 0, 0, 0, 0, 0, 0, 0, 0
"M1047401", 12.47, 1,    7238.47,  -33.5,    1.0054, 0, 0, 0, 0, 0, 0, 0, 0
"L2748132", 12.47, 1,    7238.44,  -33.5,    1.0054, 0, 0, 0, 0, 0, 0, 0, 0
"L3122820", 12.47, 1,    7251.42,  -33.4,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"L3141398", 12.47, 1,    7251.36,  -33.4,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"M1108360", 12.47, 3,    7413.87,   89.6,    1.0298, 0, 0, 0, 0, 0, 0, 0, 0
"L3048968", 12.47, 3,    7413.77,   89.6,    1.0298, 0, 0, 0, 0, 0, 0, 0, 0
"L2801950", 12.47, 3,    7419.14,   89.0,    1.0305, 0, 0, 0, 0, 0, 0, 0, 0
"M1069224", 12.47, 3,    7418.94,   89.0,    1.0305, 0, 0, 0, 0, 0, 0, 0, 0
"L2766746", 12.47, 3,    7350.92,   92.3,     1.021, 0, 0, 0, 0, 0, 0, 0, 0
"M1027073", 12.47, 3,    7347.97,   92.3,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0
"M1142873", 12.47, 3,    7609.08,   91.0,    1.0569, 0, 0, 0, 0, 0, 0, 0, 0
"M1069181", 12.47, 1,     7374.7,  -33.8,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0
"L2973151", 12.47, 1,    7374.17,  -33.8,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0
"L3179682", 12.47, 3,    7521.22,   89.8,    1.0447, 0, 0, 0, 0, 0, 0, 0, 0
"L2786274", 12.47, 3,    7521.22,   89.8,    1.0447, 0, 0, 0, 0, 0, 0, 0, 0
"L3066816", 12.47, 1,    7263.79,  -33.4,    1.0089, 0, 0, 0, 0, 0, 0, 0, 0
"M1026667", 12.47, 1,    7263.73,  -33.4,    1.0089, 0, 0, 0, 0, 0, 0, 0, 0
"M1108529", 12.47, 1,    7464.82,  -30.9,    1.0368, 2,    7548.97, -152.2,    1.0485, 3,     7512.9,   92.7,    1.0435
"M1108532", 12.47, 1,    7462.23,  -30.9,    1.0365, 2,    7547.45, -152.2,    1.0483, 3,    7513.79,   92.7,    1.0436
"L2766723", 12.47, 1,    7264.58,  -33.4,     1.009, 0, 0, 0, 0, 0, 0, 0, 0
"L3122822", 12.47, 1,    7264.53,  -33.4,     1.009, 0, 0, 0, 0, 0, 0, 0, 0
"L2673312", 12.47, 1,    7109.59,  -33.9,    0.9875, 0, 0, 0, 0, 0, 0, 0, 0
"L3235247", 12.47, 1,    7109.51,  -33.9,   0.98749, 0, 0, 0, 0, 0, 0, 0, 0
"M1166391", 12.47, 3,    7450.07,   89.7,    1.0348, 0, 0, 0, 0, 0, 0, 0, 0
"L3254873", 12.47, 3,    7445.94,   89.7,    1.0342, 0, 0, 0, 0, 0, 0, 0, 0
"L2861157", 12.47, 3,    7488.64,   89.8,    1.0402, 0, 0, 0, 0, 0, 0, 0, 0
"P901951", 12.47, 3,    7485.04,   89.8,    1.0397, 0, 0, 0, 0, 0, 0, 0, 0
"M1047346", 12.47, 1,    7271.68,  -34.3,      1.01, 2,    7376.89, -153.9,    1.0246, 3,    7468.14,   88.6,    1.0373
"M1047345", 12.47, 1,    7267.48,  -34.3,    1.0094, 2,    7376.23, -153.9,    1.0245, 3,    7467.82,   88.6,    1.0373
"L2989596", 12.47, 2,     7355.3, -154.9,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
"L2822873", 12.47, 2,    7355.27, -154.9,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
"M1108328", 12.47, 3,    7491.45,   89.7,    1.0405, 0, 0, 0, 0, 0, 0, 0, 0
"L2875754", 12.47, 3,    7491.43,   89.7,    1.0405, 0, 0, 0, 0, 0, 0, 0, 0
"L2786204", 12.47, 3,     7541.4,   89.9,    1.0475, 0, 0, 0, 0, 0, 0, 0, 0
"M1209819", 12.47, 3,    7537.85,   89.9,     1.047, 0, 0, 0, 0, 0, 0, 0, 0
"P901972", 12.47, 1,    7196.79,  -33.8,   0.99962, 0, 0, 0, 0, 0, 0, 0, 0
"M1009726", 12.47, 1,     7195.5,  -33.9,   0.99944, 0, 0, 0, 0, 0, 0, 0, 0
"M1047702", 12.47, 1,    7331.49,  -33.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"N1137001", 12.47, 1,    7331.43,  -33.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"L2767340", 12.47, 1,    7170.34,  -30.9,   0.99594, 2,    7496.97, -151.5,    1.0413, 3,    7650.43,   92.0,    1.0626
"M3037449", 12.47, 1,    7170.35,  -30.9,   0.99594, 2,    7496.97, -151.5,    1.0413, 3,    7650.43,   92.0,    1.0626
"M1047457", 12.47, 2,    7245.81, -156.4,    1.0064, 0, 0, 0, 0, 0, 0, 0, 0
"L2710546", 12.47, 2,    7245.47, -156.4,    1.0064, 0, 0, 0, 0, 0, 0, 0, 0
"L2674027", 12.47, 1,     7044.5,  -30.8,   0.97846, 2,    7466.55, -152.0,    1.0371, 3,    7699.83,   92.7,    1.0695
"L2692633", 12.47, 1,    7036.97,  -30.8,   0.97742, 2,     7462.7, -152.1,    1.0365, 3,     7702.1,   92.7,    1.0698
"N1142108", 12.47, 1,    7315.86,  -32.2,    1.0162, 0, 0, 0, 0, 0, 0, 0, 0
"L2674051", 12.47, 1,    7315.77,  -32.2,    1.0161, 0, 0, 0, 0, 0, 0, 0, 0
"M1069135", 12.47, 1,     7299.1,  -34.3,    1.0138, 2,    7380.13, -153.9,    1.0251, 3,    7469.28,   88.6,    1.0375
"R18242", 12.47, 1,    7293.48,  -34.3,     1.013, 2,    7380.46, -153.9,    1.0251, 3,     7470.1,   88.6,    1.0376
"M1047534", 12.47, 1,    7470.78,  -33.0,    1.0377, 2,    7499.42, -155.5,    1.0416, 3,    7466.93,   92.3,    1.0371
"N1136663", 12.47, 1,    7447.53,  -33.1,    1.0344, 2,    7488.75, -155.6,    1.0402, 3,    7461.16,   92.3,    1.0363
"M1108508", 12.47, 3,    7527.57,   92.6,    1.0456, 0, 0, 0, 0, 0, 0, 0, 0
"L3097861", 12.47, 3,    7525.73,   92.6,    1.0453, 0, 0, 0, 0, 0, 0, 0, 0
"M1069560", 12.47, 2,    7336.46, -154.9,     1.019, 0, 0, 0, 0, 0, 0, 0, 0
"L2973153", 12.47, 1,    7346.61,  -33.3,    1.0204, 2,    7427.75, -155.8,    1.0317, 3,     7444.2,   92.3,     1.034
"N1136998", 12.47, 1,    7345.86,  -33.3,    1.0203, 2,    7427.09, -155.8,    1.0316, 3,     7444.3,   92.3,     1.034
"L2898515", 12.47, 3,    7583.38,   90.3,    1.0533, 0, 0, 0, 0, 0, 0, 0, 0
"M1166387", 12.47, 3,    7583.27,   90.3,    1.0533, 0, 0, 0, 0, 0, 0, 0, 0
"M1047442", 12.47, 2,    7258.49, -156.4,    1.0082, 0, 0, 0, 0, 0, 0, 0, 0
"L3235250", 12.47, 2,    7258.45, -156.4,    1.0082, 0, 0, 0, 0, 0, 0, 0, 0
"M1142871", 12.47, 1,    7280.27,  -31.3,    1.0112, 2,    7518.11, -151.4,    1.0442, 3,    7608.18,   91.0,    1.0568
"M1142874", 12.47, 1,    7276.91,  -31.3,    1.0107, 2,    7517.42, -151.5,    1.0442, 3,     7609.4,   91.0,    1.0569
"L2955081", 12.47, 1,    7315.35,  -32.3,    1.0161, 2,    7512.41, -151.7,    1.0435, 3,     7524.7,   89.8,    1.0452
"M1108315", 12.47, 1,    7314.88,  -32.3,     1.016, 2,    7511.69, -151.7,    1.0434, 3,    7521.27,   89.8,    1.0447
"L2973162", 12.47, 1,    7145.99,  -34.4,   0.99256, 2,    7335.45, -154.1,    1.0189, 3,    7465.19,   88.8,    1.0369
"M1026333", 12.47, 1,    7145.65,  -34.4,   0.99251, 2,    7333.88, -154.1,    1.0187, 3,    7465.58,   88.8,    1.0369
"M1009832", 12.47, 2,    7336.58, -156.5,     1.019, 0, 0, 0, 0, 0, 0, 0, 0
"L2860479", 12.47, 2,    7336.58, -156.5,     1.019, 0, 0, 0, 0, 0, 0, 0, 0
"M1026854", 12.47, 1,     7286.6,  -33.7,    1.0121, 2,    7435.16, -156.1,    1.0327, 3,    7426.64,   92.4,    1.0315
"P901894", 12.47, 1,    7286.31,  -33.7,     1.012, 0, 0, 0, 0, 0, 0, 0, 0
"M1026485", 12.47, 2,    7293.39, -154.1,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"M1026492", 12.47, 2,    7293.33, -154.1,     1.013, 0, 0, 0, 0, 0, 0, 0, 0
"D6413567-3_INT", 12.47, 1,    7400.29,  -33.7,    1.0279, 2,    7453.04, -153.1,    1.0352, 3,    7439.77,   89.0,    1.0334
"E182724", 12.47, 1,    7400.24,  -33.7,    1.0279, 2,    7453.01, -153.1,    1.0352, 3,     7439.8,   89.0,    1.0334
"N1139541", 12.47, 1,    7402.28,  -33.7,    1.0282, 2,    7453.96, -153.1,    1.0353, 3,    7439.41,   89.0,    1.0333
"M4122658", 12.47, 1,    7119.77,  -30.7,   0.98892, 2,    7488.76, -151.6,    1.0402, 3,    7671.88,   92.4,    1.0656
"L2933135", 12.47, 1,    7119.63,  -30.7,    0.9889, 2,    7488.74, -151.6,    1.0402, 3,    7671.94,   92.4,    1.0656
"L2729414", 12.47, 1,    7280.72,  -33.4,    1.0113, 2,    7433.93, -155.7,    1.0326, 3,    7404.61,   92.4,    1.0285
"L2729430", 12.47, 2,    7358.97, -156.4,    1.0221, 0, 0, 0, 0, 0, 0, 0, 0
"L2766742", 12.47, 2,    7354.84, -156.4,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
